track_a,track_b,fused_similarity,chroma_similarity,tempo_ratio,segment_pair,classification,red_threshold,yellow_threshold
В_темноте - Copy.m4a,В_темноте.m4a,1.0,1.0,1.0,"(0, 0)",EXACT,0.0,0.0
гавнецо.m4a,"Тропы_не_врут,_ДМЦ,_Plotnik82_-_Мой_андеграунд - Copy.m4a",1.0,1.0,1.0,"(0, 0)",EXACT,0.0,0.0
"Afro_Shev,_Marshal_Soul_-_Mutter.m4a",В_темноте - Copy.m4a,0.8897568583488464,0.9782595634460449,1.0,"(3, 4)",GREEN,1.0470356941223145,0.9629464149475098
"Afro_Shev,_Marshal_Soul_-_Mutter.m4a",В_темноте.m4a,0.8897568583488464,0.9782595634460449,1.0,"(3, 4)",GREEN,1.0470356941223145,0.9629464149475098
tochka_k_-_Приём_Феникса.m4a,гавнецо.m4a,0.8678905367851257,0.9673251509666443,0.9310345184948979,"(1, 3)",GREEN,1.0470356941223145,0.9629464149475098
tochka_k_-_Приём_Феникса.m4a,"Тропы_не_врут,_ДМЦ,_Plotnik82_-_Мой_андеграунд - Copy.m4a",0.8678905367851257,0.9673251509666443,0.9310345184948979,"(1, 3)",GREEN,1.0470356941223145,0.9629464149475098
"Afro_Shev,_Marshal_Soul_-_Mutter.m4a",House_of_Dragon_S02_E01_1.mp3,0.8602147698402405,0.9856563806533813,1.0,"(0, 4)",GREEN,1.0470356941223145,0.9629464149475098
tochka_k_-_Приём_Феникса.m4a,В_темноте - Copy.m4a,0.823561429977417,0.947456955909729,1.0,"(1, 3)",GREEN,1.0470356941223145,0.9629464149475098
tochka_k_-_Приём_Феникса.m4a,В_темноте.m4a,0.823561429977417,0.947456955909729,1.0,"(1, 3)",GREEN,1.0470356941223145,0.9629464149475098
House_of_Dragon_S02_E01_1.mp3,В_темноте - Copy.m4a,0.8233216404914856,0.9656674861907959,0.904761915447396,"(3, 3)",GREEN,1.0470356941223145,0.9629464149475098
House_of_Dragon_S02_E01_1.mp3,В_темноте.m4a,0.8233216404914856,0.9656674861907959,0.904761915447396,"(3, 3)",GREEN,1.0470356941223145,0.9629464149475098
House_of_Dragon_S02_E01_1.mp3,Woodkid_-_Ghost_Lights.m4a,0.7909070253372192,0.9664961099624634,0.904761915447396,"(0, 0)",GREEN,1.0470356941223145,0.9629464149475098
В_темноте - Copy.m4a,гавнецо.m4a,0.7851211428642273,0.98554527759552,0.724137958829365,"(3, 4)",GREEN,1.0470356941223145,0.9629464149475098
В_темноте - Copy.m4a,"Тропы_не_врут,_ДМЦ,_Plotnik82_-_Мой_андеграунд - Copy.m4a",0.7851211428642273,0.98554527759552,0.724137958829365,"(3, 4)",GREEN,1.0470356941223145,0.9629464149475098
В_темноте.m4a,гавнецо.m4a,0.7851211428642273,0.98554527759552,0.724137958829365,"(3, 4)",GREEN,1.0470356941223145,0.9629464149475098
В_темноте.m4a,"Тропы_не_врут,_ДМЦ,_Plotnik82_-_Мой_андеграунд - Copy.m4a",0.7851211428642273,0.98554527759552,0.724137958829365,"(3, 4)",GREEN,1.0470356941223145,0.9629464149475098
tochka_k_-_Приём_Феникса.m4a,Woodkid_-_Ghost_Lights.m4a,0.7649154663085938,0.9784785509109497,1.0,"(0, 4)",GREEN,1.0470356941223145,0.9629464149475098
"Afro_Shev,_Marshal_Soul_-_Mutter.m4a",гавнецо.m4a,0.7562217116355896,0.9898812174797058,0.7894736748866213,"(3, 2)",GREEN,1.0470356941223145,0.9629464149475098
"Afro_Shev,_Marshal_Soul_-_Mutter.m4a","Тропы_не_врут,_ДМЦ,_Plotnik82_-_Мой_андеграунд - Copy.m4a",0.7562217116355896,0.9898812174797058,0.7894736748866213,"(3, 2)",GREEN,1.0470356941223145,0.9629464149475098
"Afro_Shev,_Marshal_Soul_-_Mutter.m4a",tochka_k_-_Приём_Феникса.m4a,0.7529564499855042,0.9637928605079651,1.0,"(3, 1)",GREEN,1.0470356941223145,0.9629464149475098
House_of_Dragon_S02_E01_1.mp3,tochka_k_-_Приём_Феникса.m4a,0.7325688004493713,0.9745895862579346,0.904761915447396,"(1, 4)",GREEN,1.0470356941223145,0.9629464149475098
Woodkid_-_Ghost_Lights.m4a,гавнецо.m4a,0.7258158326148987,0.9864845871925354,0.724137958829365,"(1, 1)",GREEN,1.0470356941223145,0.9629464149475098
Woodkid_-_Ghost_Lights.m4a,"Тропы_не_врут,_ДМЦ,_Plotnik82_-_Мой_андеграунд - Copy.m4a",0.7258158326148987,0.9864845871925354,0.724137958829365,"(1, 1)",GREEN,1.0470356941223145,0.9629464149475098
Woodkid_-_Ghost_Lights.m4a,В_темноте - Copy.m4a,0.7008063793182373,0.9873821139335632,1.0,"(1, 2)",GREEN,1.0470356941223145,0.9629464149475098
Woodkid_-_Ghost_Lights.m4a,В_темноте.m4a,0.7008063793182373,0.9873821139335632,1.0,"(1, 2)",GREEN,1.0470356941223145,0.9629464149475098
"Afro_Shev,_Marshal_Soul_-_Mutter.m4a",Woodkid_-_Ghost_Lights.m4a,0.68815016746521,0.9861938953399658,1.0,"(2, 1)",GREEN,1.0470356941223145,0.9629464149475098
House_of_Dragon_S02_E01_1.mp3,гавнецо.m4a,0.6742790341377258,0.9654110074043274,0.7894736748866213,"(1, 4)",GREEN,1.0470356941223145,0.9629464149475098
House_of_Dragon_S02_E01_1.mp3,"Тропы_не_врут,_ДМЦ,_Plotnik82_-_Мой_андеграунд - Copy.m4a",0.6742790341377258,0.9654110074043274,0.7894736748866213,"(1, 4)",GREEN,1.0470356941223145,0.9629464149475098
