03:17:49 | INFO     | server               | ============================================================
03:17:49 | INFO     | server               | SERVER STARTUP
03:17:49 | INFO     | server               | ============================================================
03:17:49 | INFO     | server               | Working directory: D:\GitHub\AIMusicMasteringFactory\audio_similarity_check
03:17:49 | INFO     | server               | Python: C:\Users\Vitali\AppData\Local\pypoetry\Cache\virtualenvs\sound-mastering-ddXEiBPa-py3.11\Scripts\python.exe
03:17:51 | INFO     | arrayops             | ArrayOps: CPU (NumPy)
03:17:51 | DEBUG    | compare              | segment pair (0,0) fused_sim=0.8117
03:17:51 | DEBUG    | compare              | segment pair (0,1) fused_sim=0.8501
03:17:51 | DEBUG    | compare              | segment pair (0,2) fused_sim=0.6584
03:17:51 | DEBUG    | compare              | segment pair (0,3) fused_sim=0.7369
03:17:51 | DEBUG    | compare              | segment pair (0,4) fused_sim=0.7831
03:17:51 | DEBUG    | compare              | segment pair (1,0) fused_sim=0.7910
03:17:51 | DEBUG    | compare              | segment pair (1,1) fused_sim=0.8333
03:17:51 | DEBUG    | compare              | segment pair (1,2) fused_sim=0.8435
03:17:51 | DEBUG    | compare              | segment pair (1,3) fused_sim=0.8434
03:17:51 | DEBUG    | compare              | segment pair (1,4) fused_sim=0.8553
03:17:51 | DEBUG    | compare              | segment pair (2,0) fused_sim=0.7360
03:17:51 | DEBUG    | compare              | segment pair (2,1) fused_sim=0.8724
03:17:51 | DEBUG    | compare              | segment pair (2,2) fused_sim=0.8730
03:17:51 | DEBUG    | compare              | segment pair (2,3) fused_sim=0.8353
03:17:51 | DEBUG    | compare              | segment pair (2,4) fused_sim=0.8390
03:17:51 | DEBUG    | compare              | segment pair (3,0) fused_sim=0.7412
03:17:51 | DEBUG    | compare              | segment pair (3,1) fused_sim=0.8483
03:17:51 | DEBUG    | compare              | segment pair (3,2) fused_sim=0.8568
03:17:51 | DEBUG    | compare              | segment pair (3,3) fused_sim=0.8137
03:17:51 | DEBUG    | compare              | segment pair (3,4) fused_sim=0.8182
03:17:51 | DEBUG    | compare              | segment pair (4,0) fused_sim=0.7566
03:17:51 | DEBUG    | compare              | segment pair (4,1) fused_sim=0.7868
03:17:51 | DEBUG    | compare              | segment pair (4,2) fused_sim=0.7998
03:17:51 | DEBUG    | compare              | segment pair (4,3) fused_sim=0.7935
03:17:51 | DEBUG    | compare              | segment pair (4,4) fused_sim=0.8044
03:17:51 | INFO     | arrayops             | ArrayOps: CPU (NumPy)
03:17:51 | DEBUG    | compare              | segment pair (0,0) fused_sim=0.6248
03:17:51 | DEBUG    | compare              | segment pair (0,1) fused_sim=0.7030
03:17:51 | DEBUG    | compare              | segment pair (0,2) fused_sim=0.6243
03:17:51 | DEBUG    | compare              | segment pair (0,3) fused_sim=0.5291
03:17:51 | DEBUG    | compare              | segment pair (0,4) fused_sim=0.6431
03:17:51 | DEBUG    | compare              | segment pair (1,0) fused_sim=0.6475
03:17:51 | DEBUG    | compare              | segment pair (1,1) fused_sim=0.7475
03:17:51 | DEBUG    | compare              | segment pair (1,2) fused_sim=0.7438
03:17:51 | DEBUG    | compare              | segment pair (1,3) fused_sim=0.6846
03:17:51 | DEBUG    | compare              | segment pair (1,4) fused_sim=0.6827
03:17:51 | DEBUG    | compare              | segment pair (2,0) fused_sim=0.5882
03:17:51 | DEBUG    | compare              | segment pair (2,1) fused_sim=0.7335
03:17:51 | DEBUG    | compare              | segment pair (2,2) fused_sim=0.6843
03:17:51 | DEBUG    | compare              | segment pair (2,3) fused_sim=0.6912
03:17:51 | DEBUG    | compare              | segment pair (2,4) fused_sim=0.7214
03:17:51 | DEBUG    | compare              | segment pair (3,0) fused_sim=0.6066
03:17:51 | DEBUG    | compare              | segment pair (3,1) fused_sim=0.7264
03:17:51 | DEBUG    | compare              | segment pair (3,2) fused_sim=0.6781
03:17:51 | DEBUG    | compare              | segment pair (3,3) fused_sim=0.6889
03:17:51 | DEBUG    | compare              | segment pair (3,4) fused_sim=0.7134
03:17:51 | DEBUG    | compare              | segment pair (4,0) fused_sim=0.6121
03:17:51 | DEBUG    | compare              | segment pair (4,1) fused_sim=0.7177
03:17:51 | DEBUG    | compare              | segment pair (4,2) fused_sim=0.6834
03:17:51 | DEBUG    | compare              | segment pair (4,3) fused_sim=0.6882
03:17:51 | DEBUG    | compare              | segment pair (4,4) fused_sim=0.7073
03:17:51 | INFO     | arrayops             | ArrayOps: CPU (NumPy)
03:17:51 | DEBUG    | compare              | segment pair (0,0) fused_sim=0.6659
03:17:51 | DEBUG    | compare              | segment pair (0,1) fused_sim=0.5761
